id,machine_id,shift,timestamp,off_time,idle_time,production_time,total_parts,good_parts,bad_parts,availability,performance,quality,availability_loss,performance_loss,quality_loss,oee,update_date
1,1,1,2024-02-24 03:03:11,01:04:10,00:44:41,06:11:08,455,453,2,0.7732,0.613,0.9956,0.2268,0.387,0.0044,0.4719,2024-02-24 03:44:59
2,1,1,2025-09-09 22:27:03,00:30:43,01:26:46,06:02:29,715,688,27,0.7552,0.9862,0.9622,0.2448,0.0138,0.0378,0.7167,2025-09-09 22:38:38
3,6,2,2023-04-18 20:08:42,00:16:39,00:42:32,07:00:47,679,668,11,0.8766,0.8068,0.9838,0.1234,0.1932,0.0162,0.6958,2023-04-18 20:24:50
4,5,1,2024-05-04 21:29:55,00:08:19,01:35:25,06:16:15,617,587,30,0.7839,0.8199,0.9514,0.2161,0.1801,0.0486,0.6115,2024-05-04 21:42:44
5,5,1,2023-03-27 22:05:25,00:08:34,01:41:42,06:09:43,523,516,7,0.7703,0.7073,0.9866,0.2297,0.2927,0.0134,0.5375,2023-03-27 22:11:30
6,1,2,2024-04-03 00:18:02,00:04:21,00:59:33,06:56:05,576,551,25,0.8669,0.6922,0.9566,0.1331,0.3078,0.0434,0.574,2024-04-03 00:58:11
7,2,1,2024-08-30 13:35:48,00:15:28,00:38:33,07:05:58,679,679,0,0.8874,0.797,1.0,0.1126,0.203,0.0,0.7073,2024-08-30 14:16:07
8,2,2,2023-02-21 10:21:16,00:15:15,01:07:32,06:37:11,721,717,4,0.8275,0.9076,0.9945,0.1725,0.0924,0.0055,0.7469,2023-02-21 11:05:55
9,2,1,2024-11-26 23:53:52,00:12:49,01:22:24,06:24:45,673,647,26,0.8016,0.8746,0.9614,0.1984,0.1254,0.0386,0.674,2024-11-27 00:43:16
10,5,1,2024-12-17 14:48:12,00:02:28,00:32:05,07:25:25,713,706,7,0.928,0.8004,0.9902,0.072,0.1996,0.0098,0.7354,2024-12-17 15:23:31
11,5,2,2023-05-27 22:27:21,00:07:09,00:23:39,07:29:11,764,725,39,0.9358,0.8504,0.949,0.0642,0.1496,0.051,0.7552,2023-05-27 23:26:05
12,6,2,2023-07-10 07:18:21,00:05:49,00:18:38,07:35:31,741,736,5,0.949,0.8133,0.9933,0.051,0.1867,0.0067,0.7667,2023-07-10 07:21:08
13,2,1,2023-01-30 08:40:12,00:16:29,01:24:37,06:18:52,700,696,4,0.7893,0.9238,0.9943,0.2107,0.0762,0.0057,0.725,2023-01-30 09:02:17
14,3,1,2024-08-18 17:16:58,00:27:54,01:13:44,06:18:21,610,608,2,0.7882,0.8061,0.9967,0.2118,0.1939,0.0033,0.6333,2024-08-18 18:05:56
15,1,2,2025-11-29 11:39:51,00:42:49,00:17:01,07:00:08,829,826,3,0.8753,0.9866,0.9964,0.1247,0.0134,0.0036,0.8604,2025-11-29 12:09:05
